Date,Year,Gold_24K_1gm_INR,Gold_24K_10gm_INR,Gold_916_1gm_INR,Gold_916_10gm_INR
2000-01-01,2000,443.62,4436.2,406.36,4063.56
2000-01-02,2000,437.2,4372.0,400.48,4004.75
2000-01-03,2000,442.03,4420.34,404.9,4049.03
2000-01-04,2000,438.38,4383.82,401.56,4015.58
2000-01-05,2000,442.44,4424.4,405.28,4052.75
2000-01-06,2000,444.79,4447.95,407.43,4074.32
2000-01-07,2000,441.99,4419.93,404.87,4048.66
2000-01-08,2000,447.64,4476.35,410.03,4100.34
2000-01-09,2000,452.46,4524.61,414.45,4144.54
2000-01-10,2000,451.38,4513.77,413.46,4134.61
2000-01-11,2000,452.49,4524.89,414.48,4144.79
2000-01-12,2000,448.06,4480.59,410.42,4104.22
2000-01-13,2000,452.93,4529.26,414.88,4148.8
2000-01-14,2000,450.85,4508.49,412.98,4129.78
2000-01-15,2000,461.3,4612.96,422.55,4225.47
2000-01-16,2000,458.96,4589.59,420.41,4204.07
2000-01-17,2000,466.84,4668.44,427.63,4276.29
2000-01-18,2000,465.65,4656.53,426.54,4265.38
2000-01-19,2000,454.05,4540.54,415.91,4159.14
2000-01-20,2000,458.69,4586.88,420.16,4201.58
2000-01-21,2000,459.13,4591.28,420.56,4205.61
2000-01-22,2000,467.03,4670.33,427.8,4278.02
2000-01-23,2000,462.67,4626.69,423.8,4238.05
2000-01-24,2000,459.1,4590.97,420.53,4205.33
2000-01-25,2000,462.31,4623.12,423.48,4234.78
2000-01-26,2000,470.45,4704.46,430.93,4309.29
2000-01-27,2000,462.68,4626.79,423.81,4238.14
2000-01-28,2000,475.34,4753.4,435.41,4354.12
2000-01-29,2000,463.01,4630.06,424.11,4241.14
2000-01-30,2000,466.93,4669.27,427.7,4277.05
2000-01-31,2000,465.44,4654.37,426.34,4263.4
2000-02-01,2000,475.15,4751.48,435.24,4352.36
2000-02-02,2000,472.58,4725.82,432.88,4328.85
2000-02-03,2000,471.52,4715.2,431.91,4319.13
2000-02-04,2000,471.78,4717.85,432.15,4321.55
2000-02-05,2000,475.64,4756.43,435.69,4356.89
2000-02-06,2000,477.83,4778.26,437.69,4376.89
2000-02-07,2000,478.09,4780.88,437.93,4379.29
2000-02-08,2000,480.83,4808.34,440.44,4404.44
2000-02-09,2000,480.6,4805.96,440.23,4402.26
2000-02-10,2000,482.27,4822.72,441.76,4417.61
2000-02-11,2000,485.85,4858.46,445.03,4450.35
2000-02-12,2000,481.95,4819.53,441.47,4414.69
2000-02-13,2000,492.17,4921.72,450.83,4508.3
2000-02-14,2000,487.12,4871.18,446.2,4462.01
2000-02-15,2000,490.58,4905.84,449.37,4493.75
2000-02-16,2000,483.68,4836.84,443.05,4430.54
2000-02-17,2000,492.48,4924.75,451.11,4511.07
2000-02-18,2000,492.88,4928.84,451.48,4514.82
2000-02-19,2000,485.75,4857.45,444.94,4449.43
2000-02-20,2000,492.21,4922.11,450.86,4508.65
2000-02-21,2000,489.57,4895.73,448.45,4484.49
2000-02-22,2000,490.88,4908.83,449.65,4496.49
2000-02-23,2000,496.1,4961.0,454.43,4544.28
2000-02-24,2000,486.3,4863.0,445.45,4454.51
2000-02-25,2000,488.03,4880.3,447.04,4470.36
2000-02-26,2000,493.22,4932.16,451.79,4517.85
2000-02-27,2000,495.23,4952.26,453.63,4536.27
2000-02-28,2000,499.89,4998.93,457.9,4579.02
2000-02-29,2000,507.23,5072.25,464.62,4646.18
2000-03-01,2000,512.21,5122.06,469.18,4691.81
2000-03-02,2000,508.92,5089.19,466.17,4661.7
2000-03-03,2000,500.6,5006.0,458.55,4585.49
2000-03-04,2000,495.95,4959.51,454.29,4542.91
2000-03-05,2000,514.99,5149.92,471.73,4717.33
2000-03-06,2000,509.44,5094.4,466.65,4666.47
2000-03-07,2000,504.88,5048.82,462.47,4624.71
2000-03-08,2000,507.08,5070.83,464.49,4644.88
2000-03-09,2000,508.86,5088.64,466.12,4661.2
2000-03-10,2000,510.31,5103.07,467.44,4674.42
2000-03-11,2000,503.75,5037.52,461.44,4614.37
2000-03-12,2000,518.13,5181.35,474.61,4746.12
2000-03-13,2000,514.3,5143.03,471.1,4711.01
2000-03-14,2000,517.18,5171.82,473.74,4737.39
2000-03-15,2000,518.28,5182.75,474.74,4747.4
2000-03-16,2000,518.79,5187.92,475.21,4752.13
2000-03-17,2000,520.08,5200.76,476.39,4763.89
2000-03-18,2000,525.5,5254.99,481.36,4813.57
2000-03-19,2000,523.85,5238.52,479.85,4798.48
2000-03-20,2000,515.4,5154.02,472.11,4721.09
2000-03-21,2000,523.56,5235.61,479.58,4795.82
2000-03-22,2000,519.79,5197.88,476.13,4761.26
2000-03-23,2000,519.69,5196.92,476.04,4760.38
2000-03-24,2000,527.36,5273.64,483.07,4830.66
2000-03-25,2000,520.94,5209.42,477.18,4771.83
2000-03-26,2000,518.3,5183.04,474.77,4747.66
2000-03-27,2000,537.83,5378.25,492.65,4926.48
2000-03-28,2000,530.87,5308.75,486.28,4862.81
2000-03-29,2000,530.76,5307.55,486.17,4861.72
2000-03-30,2000,532.34,5323.43,487.63,4876.26
2000-03-31,2000,535.69,5356.87,490.69,4906.89
2000-04-01,2000,531.09,5310.88,486.48,4864.77
2000-04-02,2000,536.91,5369.12,491.81,4918.11
2000-04-03,2000,539.66,5396.56,494.32,4943.25
2000-04-04,2000,536.19,5361.93,491.15,4911.53
2000-04-05,2000,537.88,5378.85,492.7,4927.02
2000-04-06,2000,531.62,5316.16,486.96,4869.6
2000-04-07,2000,540.96,5409.57,495.52,4955.17
2000-04-08,2000,553.31,5533.15,506.84,5068.36
2000-04-09,2000,538.55,5385.55,493.32,4933.16
2000-04-10,2000,541.63,5416.35,496.14,4961.37
2000-04-11,2000,547.75,5477.54,501.74,5017.42
2000-04-12,2000,540.64,5406.4,495.23,4952.26
